Offence,Act,Class
TEW Offences,Iraq (United Nations Sanctions) Order 2000 ,H*
TEW offences,Merchant Shipping Act 1995 and regulations relating to oil pollution and the carrying of dangerous or polluting goods inc. Merchant Shipping (Reporting Requirements for Ships Carrying Dangerous or Polluting Goods) Regulations 1995,H*
TEW Offences,Nuclear Material (Offences) Act 1983 as added by Criminal Justice and Immigration Act 2008,H*
TEW Offences,"Persistent Organic Pollutants regulations 2007 Sec 5, 6 (1-3), 7 (1-3), & 11",H*
TEW Offences,Producer Responsibility Obligations (Packaging Waste) Regulations 2005,H*
TEW Offences,Radioactive Substances Act 1993,H*
TEW Offences,"Timeshare, Holiday Products, Resale and Exchange Contract Regulations 2010",H*
TEW Offences,"Waste Electrical and Electronic Equipment Regulations 2006 Sec 73 (1), (3), (5), (7) (8) 74 (1)",H*
TEW Offences,Water Resources Act 1991,H*
TEW offences ,Regulatory Reform (Fire Safety) Order 2005 S32.,H*
TEW Offences ,Animal By-Products (Enforcement) (England) Regulations 2011,H*
TEW Offences ,Legal Services Act 2007,H*
TEW offences ,Transmissible Spongiform Encephalopatheis regulations 2006,H*
TEW offences ,Products of Animal Origins (Third Country Imports)(England) Regulations 2003,H*
TEW offences ,"Air Navigation Order 2009 AA.2(1), 16(10), 132(2), 231 & 241(7) & Sch.13 Pt.C",H*
TEW offences ,"Passenger and Goods Vehicles (Recording equipment) (Tachograph Card) Regulations 2006 SI 1937/2006 S.3(1)(a)(2)(6),4(1)(a)(2)(6),
 4(1)c)(2)(6) 4(1)(g)(2)(6).
",H*
"TEW offences (excluding S.46B, 70(1) and 70(2)",Courts and Legal Services Act 1990,H*
TEW Offences [excluding R.6(7)],"Railways (Accident Investigation and Reporting Regulations 2006) RR.4(12), 7(6), 8(7), 9(13), 9(16) & 16(1)",H*
TEW offences re consumer credit,Consumer Credit Act 1974 except Sec 39,H*
TEW offences relating to fishing vessels,Merchant Shipping Act 1995 Sec 15; 124(5),H*
TEW offences.,General product safety regulations 2005.,H*
TEW offences.,Pollution Prevention and Control Regulations (E&W) Order 2000.,H*
TEW offences. ,Food Hygiene (England) Regulation 2006,H*
TEW Regulations made under this order,Merchant Shipping (Pollution) Act 2006 Sec 1(2)(4),H*
"The control of harbour development, financial assistance for the improvement of harbours/maintenance, management",Harbours Act 1964,H*
Theft by an employee,Theft Act 1968 Sec 1,F/G/K
Theft from a motor vehicle,Theft Act 1968 Sec 1,F/G/K
Theft from automatic machine or meter,Theft Act 1968 Sec 1,F/G/K
Theft from shops and stalls,Theft Act 1968 Sec 1,F/G/K
Theft from the person of another,Theft Act 1968 Sec 1,F/G/K
Theft from vehicle other than a motor vehicle,Theft Act 1968 Sec 1,F/G/K
Theft if not classified elsewhere,Theft Act 1968 Sec 1,F/G/K
Theft in a dwelling other than from automatic machine or meter,Theft Act 1968 Sec 1,F/G/K
Theft of a motor vehicle,Theft Act 1968 Sec 1,F/G/K
Theft of a pedal cycle,Theft Act 1968 Sec 1,F/G/K
Theft of conveyance other than motor vehicle or pedal cycle,Theft Act 1968 Sec 1,F/G/K
Theft of mail bag or postal packet,Theft Act 1968 Sec 1,F/G/K
"Threaten or claim to contaminate or interfere with goods with intention of causing public alarm, anxiety, economic loss, etc.",Public Order Act 1986 Sec 38(2),B
Threats of attack on United Nations workers,"United Nations Personnel Act 1997 Secs 2,3",H*
Threats to destroy or damage property,Criminal Damage Act 1971 Sec 2 ,C
Threats to Kill,Offences against the Person Act 1861 Sec 16,B
Tipping off - regulated sector - disclosure of S.21D(2) matters or that investigations into allegation of offence committed is being considered,"Terrorism Act 2000 S.21D(1), (3) & (4)",H*
"to enter or remain, or whose leave to ",Criminal Justice & Public Order Act 1994 Sec. 51(2),I
Torture,Criminal Justice Act 1988 Sec 134,H*
Trading in firearms without being registered as a firearms dealer ,Firearms Act 1968 Sec 3(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Trading in firearms without being registered as a firearms dealer ,Firearms Act 1968 Sec 3(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Trafficking into the UK for sexual exploitation,Sexual Offences Act 2003 Sec 57,J
Trafficking out of the UK for sexual exploitation,Sexual Offences Act 2003 Sec 59,J
Trafficking people into the UK for the purpose of exploitation,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 4(1)(5),H*
Trafficking people out of the UK for the purpose of exploitation,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 4(3)(5),H*
Trafficking people within the UK for the purpose of exploitation,Asylum & Immigration (Treatment of Claimants) Act 2004 Sec 4(2)(5),H*
Trafficking within the UK for sexual exploitation,Sexual Offences Act 2003 Sec 58,J
Training of persons under 12 for dangerous performances,Children and Young Persons Act 1933 Sec 24,H*
Transactions in fraud of creditors,Insolvency Act 1986 Sec 207,H*
"Transfer of authorisation, failing to notify authority",Environmental Protection Act 1990 Sec 23(1)(b),H*
Transmit contents of a terrorist publication.,Terrorism Act 2006 Sec 2(2)(e) & 11.,H*
Treason,Treason Acts 1351-1814,H*
Treason-felony,Treason Felony Act 1848,H*
Treatment of venereal disease otherwise than by duly qualified persons,Venereal Diseases Act 1917 Sec 1,H*
Trespass with intent to commit a sexual offence,Sexual Offences Act 2003 Sec 63,D
Trespassing with firearm or imitation firearm in a building,Firearms Act 1968 Sec 20(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Trespassing with firearm or imitation firearm in a building (Group II),Firearms Act 1968 Sec 20(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Triable either way Ð except article 65,Air Navigation (Overseas Terrorities) Order 2001 ,H*
Triable either way offences,"Copyright, Designs and Patents Act 1988",H*
Triable either way offences,Medicine (Advertising) Regulations Act 1994,H*
Triable either way offences,"Political Parties, Elections and Referendums Act 2000",H*
Triable either way offences,Foot & Mouth Disease Regulations,H*
Triable either way offences,Package Holildays and Package Tours Regulations 1992,H*
Triable either way offences made under these regulations,BSE Regulations, H*
Triable either way offences made under these regulations,BSE Monitoring (England) regulations 2001,H*
Triable either way offences not in 99/5 or 99/6,Representation of the People Act 1983-2000,H*
Triable-either-way offences,Town and Country Planning Act 1990 Secs 325 and 330,H*
Triable-either-way offences,"Gas Act, 1986 Secs 5, 38(3), 42, 43",H*
Unauthorised access to computer material,Computer Misuse Act 1990 as amended by Police and Justice Act 2006,H*
Unauthorised access to computer material with intent to commit or facilitate commission of further offences,Computer Misuse Act 1990 Sec 2 ,H*
"Unauthorised acts with intent to repair or recklessness as to impairing, operation of computer, etc",Computer Misuse Act 1990 Sec 3,H*
Unauthorised disclosure of information about a prisoner,"Criminal Law Act 1967, Sec 4(1) in part;",H*
Unauthorised disclosure of information about a prisoner,"Criminal Justice & Public Order Act 1994 Sec 14",H*
Unauthorised person acting as weights and measures officer,Fair Trading Act 1973 Sec. 30(4),H*
Unauthorised person acting or purporting to be an air traffic controller or student air traffic controller,"Air Navigation order 2009 AA.177, 178 & 241(7) & Sch.13 Pt.C",H*
Unauthorised striking of sponsor's mark;,Hallmarking Act 1973 Sec 3(8),H*
Unauthorised taking of a motor vehicle (does not include Ôbeing carried knowing motor vehicle has been taken),Theft Act 1968 Sec 12 ,H*
Unauthorised taking of conveyance other than a motor vehicle or pedal cycle,Theft Act 1968 Sec 12 ,H*
"Unauthorised use of uniforms; falsification of reports, forgery, personation and false documents. Interfering with officers of the police or members of His Majesty's forces. Duty of giving information as to commission of offences.","The Official Secrets Act 1920 S, 1, 3 & 6",H*
"Undertaking or assisting in the retention, removal, disposal or realisation of stolen goods or arranging to do so",Theft Act 1968 Sec 22,F/G/K
Undischarged bankrupt acting as a director,Company Directors Disqualification Act 1986 Sec 11(1),H*
"Undischarged bankrupt taking part in or being concerned in the promotion, formation or management of a company","Company Directors Disqualification Act 1986, Sec 11 (1)",H*
"Undischarged bankrupt taking part in the promotion, formation or management of a company",Company Directors Disqualification Act 1986 Sec 11(1),H*
Unlawful disclosure of details of interception warrant,Regulation of Investigatory Powers Act 2000 S.19(4),H*
Unlawful eviction of Occupier,Protection from Eviction Act 1977 Sec. 1(2),H
Unlawful exportation of a drug controlled under the Misuse of Drugs Act 1971- Class A,"Customs and Excise Management Act 1979 Secs 68,170 ",B
Unlawful exportation of a drug controlled under the Misuse of Drugs Act 1971- Class B,"Customs and Excise Management Act 1979 Secs 68,170 ",B
Unlawful exportation of a drug controlled under the Misuse of Drugs Act 1971- Class unspecified,"Customs and Excise Management Act 1979 Secs 68,170 ",F/G/K
Unlawful harassment of Occupier,Protection from Eviction Act 1977 Sec. 1(3),H
Unlawful importation of a drug controlled under the Misuse of Drugs Act 1971 - Class A,"Customs and Excise Management Act 1979 Secs 50,170 ",B
Unlawful importation of a drug controlled under the Misuse of Drugs Act 1971 - Class B,"Customs and Excise Management Act 1979 Secs 50,170 ",B
Unlawful importation of a drug controlled under the Misuse of Drugs Act 1971 - Unknown class,"Customs and Excise Management Act 1979 Secs 50,170 ",F/G/K
Unlawful interception of a postal public or private telecommunication scheme,Regulation of Investigatory Powers Act 2000 S.1(1)(2)(7),H*
Unlawful marketing of knives- has in possession for purpose of sale or hire,Knives Act 1997 Sec 1(1)(2)(3)(4c)(5),H*
"Unlawful marketing of knives, selling or hiring",Knives Act 1997 Sec 1(1)(2)(3)(4a)(5),H*
Unlawful marketing of knives. Offers or exposes to sell or hire,Knives Act 1997 Sec 1(1)(2)(3)(4b)(5),H*
Unlawful use of duty-free oil,"Hydrocarbon Oil Duties Act 1979 Secs 10(5,6)",H*
Unlawfully opening or impeding letters,Post Office Act 1953 Sec 56,H*
Unlawfully taking away or opening mail bag,Post Office Act 1953 Sec 53,H*
Unqualified person acting as a solicitor,Solicitors Act 1974 Sec 20,H*
Untrue declarations etc to Customs & Excise,Customs & Excise Management Act 1979 Sec 167(1) ,H*
Use apparatus for the purpose of interfering with wireless telegraphy.,Wireless Telegraphy Act 2006 S.68.,H*
Use etc. of nuclear weapons,"Anti-Terrorism, Crime and Security Act 2001 Sec 47",H*
Use of chemical weapons,Chemical Weapons Act 1996 Sec 2,H*
Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),B
Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),B
Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),B
Use of noxious substances or things to cause harm and intimidate,"Anti-Terrorism, Crime and Security Act 2001 Sec 113",H*
Use of words or behaviour or display of written material (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29B as added by Racial and Religious Hatred Act 2006,H*
Use radioactive device/material in the course of / in connection with commission /purposes of terrorism,Terrorism Act 2006 Sec 10,H*
Use/store donated material not for qualifying purpose,Human Tissue Act 2004 Sec 8 (1)(3),H*
Using a false drug prescription or a copy of a false drug prescription,"Forgery & Counterfeiting Act 1981 Secs 3,4",F/G/K
Using chloroform etc. to commit indictable offence,Offences against the Person Act 1861 Sec 22,B
"Using data for unauthorised purpose; disclosing data to unauthorised person etc.","Data Protection Act 1998. All secs other than S.54A & Sch. 9 Para 12",H*
Using someone to look after a dangerous weapon - offensive/weapon/knife/bladed weapon,Violent Crime Reduction Act 2006 Sec 28,H*
Using someone to look after a dangerous weapon firearm,Violent Crime Reduction Act 2006 Sec 28,H*
Using unlicensed security operative,Private Security Industry Act 2001 S.5(1)(4),H*
Using unlicensed wheel clampers operative,Private Security Industry Act 2001 S.6(1)(4),H*
"Using unsafe lighter, barge etc., likely to endanger life",Merchant Shipping Act 1995 Sec 99,H*
Vagrant violently resisting a constable,Vagrancy Act 1824 Sec 4,H*
VAT Offences,"Value Added Tax Act 1994 Sec 72(1), (3) & (8).",F/G/K
Violent disorder,Public Order Act 1986 Sec 2,B
Voyeurism,Sexual Offences Act 2003 Sec 67,D
Weapons related acts overseas,"Anti-Terrorism, Crime and Security Act 2001 Sec 50",H*
Wildlife Offences,Control of Trade in Endangered Species (Enforcement) Regulations 1997,H*
"Wilfully alters, suppresses or destroys any document",Fair Trading Act 1973 Sec 85(6),H*
Wilfully certifies any document or article to be a true copy,Civil Aviation Act 1982 Sec 96,H*
Wilfully makes false entry in any record,Industrial Training Act 1982 Sec 6(6)(b),H*
"Wilfully, or with intent to deceive, makes a false entry in any record required to be made or kept by regulations under S 74 etc",Road Traffic Act 1988 Sec 174(5),H*
With intend to deceive/forge or alter use/lend/allow another to make a document resembling a notice or exemption/accessibility/approval certificate,Equality Act 2010,H*
With intent that self/to assist another to commit act of terrorism engage in preparation.,Terrorism Act 2006 Sec 5.,H*
"With intent to evade provisions of Schedule 1, destroy/mutilate/deface/conceal /remove any document.",Al-Qaida and Taliban (UN Measures) Order 2006 Sch.1 para4(d).,H*
Without authority disclosing or using information,Access to Justice Act 1999 Sch 3 p.7(2),H*
Without consent of Commissioner of HM Revenue & Customs made unauthorised paragraph 1 disclosure.,"Police, Public order and Criminal Justice (Scotland) Act 2006 (Consequential Provisions and Modifications) Order 2007. ",H*
Wounding with intent to do grievous bodily harm,Offences against the Person Act 1861 Sec 18,B
"Wrongful disclosure of information in breach of SS.15(1), 15(2) or 17(1)","borders, Citizenship and Immigration Act 2009 S.15(1), (2) or 17(1) & 18",H*
Wrongful Disclosure of information received from HMRC relating to an identifiable person,"National Lottery Act 1993 as added by National Lottery Act 2006 Sec 2,4c",H*
Possession of false documents with intent,Identity Cards Act 2006 Sec 25 (1),F/G/K
"Possession (with intent) of apparatus, etc to make false docs",Identity Cards Act 2006 Sec 25 (3),F/G/K
"Possession of false docs / apparatus, etc without reasonable excuse",Identity Cards Act 2006 Sec 25 (5),F/G/K
Cheating the public revenue,Common Law,H*
Breach Of sex offender order,"Crime and Disorder Act 1998, s2(8)",H
Being drunk on an aircraft,"Air Navigation Order 2005, article 75",H
Possession of an offensive weapon,"Prevention of Crime Act 1953, s1",H
Keeping a disorderly house,"Common Law",H
Keeping a disorderly house,"Disorderly Houses Act 1751, s8",H
Procuring others to commit homosexual acts ,"Sexual Offences Act 1967, c60",H
Trade description offences (9 offences),"Trade Descriptions Act 1968, ss1,8,9,12,13,14",H
Misconduct endangering ship or persons on board ship,"Merchant Shipping Act 1970, s.27",H
Obstruction engine or carriage on railway,"Malicious Damage Act 1861, s36",H
Forgery of driving documents,"Road Traffic Act 1960, s233",H
Impersonating Customs Officer,"Customs and Excise Management Act 1979, s13",H
Obstructing Customs Officer,"Customs and Excise Management Act 1979, s16",H
